title,location,price,bedrooms
,Lavington,"KSh 110,000,000",5
,"Runda, Westlands","KSh 34,400,000",4
,"Bongani road, Karen","KSh 85,000,000",6
,"Runda, Westlands","KSh 150,000,000",7
,"Spring Valley, Westlands","KSh 85,000,000",4
,Lavington,"KSh 85,000,000",5
,"11, Five-star paradise, Runda, Westlands","KSh 32,000,000",4
,"Mwanzi Road, Westlands Area, Westlands","KSh 33,000,000",4
,"046, Kindaruma Road, Kilimani","KSh 10,950,000",2
,"Brookside, Westlands","KSh 75,000,000",4
,"Loresho, Westlands","KSh 150,000,000",4
,"Loresho, Westlands","KSh 120,000,000",5
,"01, lavington, Lavington","KSh 85,000,000",5
,"Lower Kabete, Westlands","KSh 9,500,000",3
,"01, garden estate, roysambu, Garden Estate, Roysambu","KSh 67,000,000",5
,"Runda Evergreen, Runda, Westlands","KSh 130,000,000",7
,"Brookside, Westlands","KSh 53,000,000",4
,Lavington,"KSh 75,000,000",5
,"O, mutero, Karen","KSh 75,000,000",5
,"Runda, Westlands","KSh 105,000,000",4
,"01, Runda, Westland, Westlands","KSh 120,000,000",5
,"Lower Kabete, Westlands","KSh 165,000,000",5
,Langata,"KSh 36,000,000",4
,Kiambu Road,"KSh 60,000,000",4
,"Runda, Westlands","KSh 180,000,000",5
,"Gravellia Grove, Spring Valley, Westlands","KSh 46,000,000",5
,"Kiambu road, Kiambu Road","KSh 30,200,000",3
,"Kiambu Road, Five Star Paradise","KSh 29,700,000",3
,"77, Kitisuru Road, Kitisuru, Westlands","KSh 570,000,000",7
,"Jacaranda, Donholm","KSh 12,500,000",3
,"Windsor, Roysambu","KSh 123,000,000",4
,"Runda, Westlands","KSh 145,000,000",3
,"Kitisuru, Westlands","KSh 26,000,000",4
,"joska, Joska, Kamulu Joska Malaa","KSh 8,150,000",3
,Kiambu Road,"KSh 50,000,000",4
,Lavington,"KSh 65,000,000",4
,"Kiambu road, Kiambu Road","KSh 33,000,000",4
,"Near Nairobi Academy, Karen","KSh 120,000,000",6
,"01, lower kabete, westland, Lower Kabete, Westlands","KSh 125,000,000",5
,Kiambu Road,"KSh 28,000,000",4
,"Waterfront Gardens, Loresho, Westlands","KSh 29,000,000",4
,"01, lavington, Lavington","KSh 70,000,000",5
,"34, Muthaiga close, Muthaiga","KSh 400,000,000",5
,"Mukoma road, Karen Hardy","KSh 65,000,000",5
,"01, Kiambu Road","KSh 32,000,000",4
,"Bustani Villas - Mombasa Road, Mombasa Road","KSh 12,000,000",3
,"01, kitisuru, westland, Kitisuru, Westlands","KSh 65,000,000",4
,"Loresho, Westlands","KSh 125,000,000",4
,Karen,"KSh 100,000,000",5
,"Kangundo Rd, Joska, Kamulu Joska Malaa","KSh 8,150,000",3
,Lavington,"KSh 54,000,000",5
,Lavington,"KSh 140,000,000",5
,Kiambu Road,"KSh 32,000,000",4
