title,location,price,bedrooms
,"Runda Waters, Runda, Westlands","KSh 85,000,000",5
,"01, runda, Westland, Runda, Westlands","KSh 130,000,000",4
,"Runda, Kiambu Road","KSh 100,000,000",3
,Kiambu Road,"KSh 20,295,000",3
,"67, Lower kabete Road, Spring Valley, Westlands","KSh 47,000,000",4
,Lavington,"KSh 60,000,000",4
,Lavington,Price not communicated,5
,"Kuro road, Karen Hardy","KSh 67,000,000",7
,"Lower kabete, Lower Kabete, Westlands","KSh 165,000,000",5
,"Lavington Green, Lavington","KSh 50,000,000",5
,"Muthaiga Close, Muthaiga","KSh 200,000",6
,Lavington,"KSh 150,000,000",4
,"amboseli road, Lavington","KSh 60,000,000",5
,"Lower Kabete Road, Lower Kabete, Westlands","KSh 100,000,000",5
,"Waiyaki Way, Westlands","KSh 35,000,000",4
,"Five Star paradise, Kiambu Road","KSh 42,950,000",4
,South C,"KSh 11,700,000",3
,"Karen mutero road, Karen","KSh 65,000,000",5
,"Brookside, Westlands","KSh 42,000,000",4
,"Quickmart Ruai, Ruai","KSh 9,950,000",4
,"01, karen, Nairobi, Karen","KSh 120,000,000",5
,"Runda, Westlands","KSh 160,000,000",6
,"Kitisuru, Westlands","KSh 62,000,000",6
,"10, Galleria, Karen","KSh 65,000,000",6
,"O, Karen","KSh 135,000,000",6
,Lavington,"KSh 53,000,000",5
,Muthaiga,"KSh 158,145,000",4
,"Kahawa Sukari, Kahawa sukari, Roysambu","KSh 39,900,000",10
,"O, Hillcrest road, Karen","KSh 50,000,000",4
,"Magnolia estate, Kitisuru, Westlands","KSh 220,000,000",5
,Langata,"KSh 28,000,000",3
,"Nyari, Westlands","KSh 150,000,000",5
,"Lower Kabete, Westlands","KSh 190,000,000",5
,Lavington,"KSh 45,000,000",4
,"Maziwa, Lavington","KSh 40,000,000",5
,"Windsor Thindigwa Kiambu, Windsor, Roysambu","KSh 29,850,000",5
,"01, Runda, Westland, Westlands","KSh 85,000,000",5
,"01, Kiambu Road, Runda","KSh 50,000,000",4
,"Coffee Garden Estate, Muthaiga","KSh 115,000,000",4
,"Kitisuru, Westlands","KSh 125,000,000",6
,Lavington,"KSh 110,000,000",6
,"Sabaki, Mombasa Road","KSh 15,000,000",4
,"EDENVILLE ESTATE PHASE 1, Kiambu Road","KSh 34,000,000",41
,Karen,"KSh 70,000,000",5
,"01, Runda, Westland, Westlands","KSh 80,000,000",4
,"Kamakis, Thika Road","KSh 8,500,000",3
,"O, Karen bomas of kenya, Karen","KSh 150,000,000",5
,"01, kitisuru, westland, Kitisuru, Westlands","KSh 130,000,000",5
,"Riverside, Westlands","KSh 75,000,000",5
,"Runda, Westlands","KSh 75,000,000",5
,Ngumo Estate,"KSh 19,000,000",3
,"01, lavington, Nairobi, Lavington","KSh 100,000,000",5
,Langata,"KSh 36,000,000",4
,"Runda, Westlands","KSh 96,000,000",4
,"Runda, Westlands","KSh 115,000,000",5
,"01, lavington, Lavington","KSh 65,000,000",5
,Kiambu Road,"KSh 35,000,000",3
,Mombasa Road,"KSh 12,500,000",3
,Lavington,"KSh 65,000,000",5
,Kileleshwa,"KSh 30,000,000",3
,"Thigiri, Westlands","KSh 120,000,000",4
,"Runda, Westlands","KSh 50,000,000",4
,"Runda, Westlands","KSh 150,000,000",6
,Kilimani,"KSh 55,000,000",4
,"Runda, Westlands","KSh 138,000,000",3
,"Juja Town, Thika Road","KSh 6,900,000",3
,Kileleshwa,"KSh 34,000,000",4
,Lavington,"KSh 67,000,000",4
,"Kahawa Sukari, Roysambu","KSh 44,500,000",5
,Lavington,"KSh 63,000,000",5
,Lavington,"KSh 68,000,000",4
,"Muthaiga North, Muthaiga","KSh 65,000,000",6
,Kiambu Road,"KSh 32,000,000",4
,"Mugoya estate, South C","KSh 18,500,000",4
,"Brookside, Westlands","KSh 55,000,000",5
,Lavington,"KSh 75,000,000",5
,"Runda, Westlands","KSh 160,000,000",6
,"101, karen, Karen","KSh 150,000,000",5
,"01, Runda, Westland, Westlands","KSh 155,000,000",5
,"Thigiri, Westlands","KSh 125,000,000",4
,Karen,"KSh 180,000,000",4
,Lavington,"KSh 100,000,000",5
,"Parklands, Westlands","KSh 36,500,000",4
,"Runda Off Kiambu Rd, Kiambu Road","KSh 38,400,000",3
,"MIMOSA, Runda, Westlands","KSh 100,000,000",5
,"Kangunndo Road, Joska, Kamulu Joska Malaa","KSh 7,700,000",3
,"Riverside Drive, Riverside, Westlands","KSh 47,000,000",5
,"Kirichwa Road, Kilimani","KSh 50,000,000",3
,"Muthaiga North, Muthaiga","KSh 36,000,000",4
,"Garden Estate, Roysambu","KSh 65,000,000",4
,"Karen , galleria, Karen","KSh 75,000,000",5
,"O, Karen","KSh 99,000,000",5
,Lavington,"KSh 85,000,000",4
,"900, Runda Road, Runda, Westlands","KSh 170,000,000",5
,"Mashroom Road, Kiambu Road","KSh 70,000,000",6
,"Parklands, Westlands",Price not communicated,4
,"lavington, Lavington","KSh 87,000,000",5
,"Parklands, Westlands","KSh 34,000,000",4
,"Karura, Westlands","KSh 85,000,000",5
,"Kigwa Ridge, Nairobi, Ridgeways","KSh 125,000,000",4
,"Spring Valley, Westlands","KSh 170,000,000",5
,"lavington, Lavington","KSh 120,000,000",6
,Kiambu Road,"KSh 24,000,000",4
,"01, kitisuru, Kitisuru, Westlands","KSh 55,000,000",4
,"Nairobi, Peponi Road, Westlands Area, Westlands","KSh 65,000,000",5
,"Kitisuru, Westlands","KSh 180,000,000",7
,"Rhapta Road, Westlands","KSh 37,000,000",4
,Lavington,"KSh 121,000,000",6
,South C,"KSh 22,500,000",4
,Muthaiga,"KSh 75,000,000",5
,"Kangundo road, Joska, Kamulu Joska Malaa","KSh 7,900,000",3
,"Ndenge road, Karen","KSh 130,000,000",6
,"Westlands Area, Westlands","KSh 70,000,000",5
,"Nandi road, Karen","KSh 200,000,000",5
,Lavington,"KSh 66,000,000",5
,"01, ridgeways, Nairobi, Ridgeways","KSh 70,000,000",4
,"01, karen, Nairobi, Karen","KSh 99,000,000",5
,"Runda, Westlands","KSh 130,000,000",7
,Lavington,"KSh 55,000,000",5
,"1, Mtoni road,Kamulu center, Kamulu, Kamulu Joska Malaa","KSh 6,850,000",3
,Kiambu Road,"KSh 23,000,000",4
,Ngumo Estate,"KSh 21,000,000",4
,Ngong Road,"KSh 30,000,000",5
,Lavington,Price not communicated,5
,Lavington,"KSh 79,000,000",4
,Kiambu Road,"KSh 30,000,000",4
,Kileleshwa,"KSh 48,000,000",5
,Karen,"KSh 85,000,000",4
,"Runda, Westlands","KSh 250,000,000",5
,"Nyari central Nairobi, Nyari, Westlands","KSh 130,000,000",5
,"Karen Kikeni road, Karen","KSh 47,000,000",4
,Kiambu Road,"KSh 28,000,000",4
,"chalbi drive, Lavington","KSh 65,000,000",4
,"Karen near shopping centre, Karen","KSh 130,000,000",6
,Lavington,"KSh 60,000,000",5
,"Eden Ville Estate, Kiambu Road","KSh 28,500,000",4
,"Lower Kabete, Nairobi, Westlands","KSh 160,000,000",5
,Kiambu Road,"KSh 20,295,000",3
,"Runda, Westlands","KSh 140,000,000",7
,Kiambu Road,"KSh 29,000,000",4
,Langata,"KSh 41,000,000",4
,"Runda, Westlands","KSh 55,000,000",5
,Kiambu Road,"KSh 40,750,000",4
,"01, lower kabete, westland, Lower Kabete, Westlands","KSh 95,000,000",5
,Kiambu Road,"KSh 30,200,000",4
,Lavington,"KSh 115,000,000",5
,Lavington,"KSh 68,000,000",4
,Karen,"KSh 75,000,000",4
,Muthaiga,"KSh 230,000,000",4
,"Loresho, Westlands","KSh 35,000,000",4
,"Kiambu road, Runda, Westlands","KSh 45,000,000",4
,Lavington,"KSh 67,000,000",4
,"Brookside, Westlands","KSh 48,000,000",4
,"Serene Spring Valley, Spring Valley, Westlands","KSh 95,000,000",4
,"Miotoni, Karen",Price not communicated,5
,Lavington,"KSh 185,000,000",4
,"Garden Estate, Roysambu","KSh 55,000,000",4
,"O, Karen ridge road, Karen","KSh 60,000,000",4
,"Kangundo Road, Ruai","KSh 9,950,000",4
,"Rhapta Road, Westlands","KSh 35,000,000",4
,"Loresho, Westlands","KSh 38,000,000",4
,"x, lower kabete, Lower Kabete, Westlands","KSh 155,000,000",5
,"01, karen, Karen","KSh 75,000,000",5
,Ridgeways,"KSh 80,000,000",5
,"Ushirka road, Karen Hardy","KSh 110,000,000",5
,Lavington,"KSh 46,750,000",4
,"Riverside, Westlands","KSh 55,000,000",5
,"Near LAVINGTON shopping centre, Lavington","KSh 75,000,000",5
,"Nyari, Westlands","KSh 210,000,000",4
,Langata,"KSh 17,000,000",4
,"Runda, Westlands","KSh 70,000,000",4
,"Murichu Road, Karen","KSh 69,000,000",4
,Kiambu Road,"KSh 37,000,000",4
,"Lower Kabete Road, Lower Kabete, Westlands","KSh 85,000,000",3
,Lavington,"KSh 53,000,000",5
,"Runda, Westlands","KSh 90,000,000",5
,"lavington, Lavington","KSh 100,000,000",4
,"O, Bongani road, Karen","KSh 100,000,000",7
,Karen,"KSh 83,000,000",5
,"EDENVILLE, Kiambu Road","KSh 25,000,000",3
,"Runda, Westlands","KSh 250,000,000",5
,"Three de lane, Karen","KSh 75,000,000",4
,Lavington,"KSh 43,000,000",5
,"Runda, Evergreen, Westlands","KSh 133,000,000",7
,"Thigiri, Westlands","KSh 140,000,000",4
,"89, Faith Avenue, Runda, Westlands","KSh 150,000,000",5
,"karaja road, Karen","KSh 95,000,000",5
,"O, miotoni road, Karen","KSh 95,000,000",5
,Karen,Price not communicated,6
,"south c, Mombasa Road","KSh 35,000,000",3
,"Westlands, Westlands Area","KSh 50,000,000",4
,"Muthaiga north, Muthaiga","KSh 65,000,000",5
,"O, Kcb Karen, Karen","KSh 67,000,000",4
,Ngong Road,"KSh 14,500,000",4
,"Amboseli, Lavington","KSh 58,000,000",5
,"01, lavington, Nairobi, Lavington","KSh 95,000,000",5
,South C,"KSh 20,900,000",4
,Lavington,"KSh 125,000,000",6
,Kileleshwa,"KSh 45,000,000",3
,"Muthaiga North, Muthaiga","KSh 75,000,000",5
,"Lavington Green, Lavington","KSh 68,000,000",4
,Lavington,"KSh 50,000,000",5
,"O, Karen ololua, Karen","KSh 95,000,000",5
,Lavington,"KSh 68,000,000",4
,Lavington,"KSh 60,000,000",5
,Kiambu Road,"KSh 38,000,000",4
,"New Kitisuru, Kitisuru, Westlands","KSh 80,000,000",4
,"Runda, Westlands","KSh 55,000,000",4
,"01, Kitisuru,, Kitisuru, Westlands","KSh 130,000,000",6
,"Njathaini Road, Kiambu Road","KSh 28,000,000",4
,"Thigiri, Westlands","KSh 170,000,000",5
,Karen,"KSh 180,000,000",5
,Muthaiga,"KSh 100,000,000",4
,"Spring Valley, Westlands","KSh 50,000,000",4
,"Kirarapon, Karen","KSh 45,000,000",4
,"MB, Lavington","KSh 90,000,000",5
,"Spring Valley, Westlands","KSh 70,000,000",4
,"Kitisuru, Westlands","KSh 315,000,000",5
,"Runda, Westlands","KSh 140,000,000",7
,"Rosslyn, Westlands","KSh 180,000,000",9
,"Donyo Sabuk, Westlands Area, Westlands","KSh 56,500,000",5
,Lavington,"KSh 50,000,000",5
,"Kitisuru, Westlands","KSh 180,000,000",7
,"Runda, Westlands","KSh 250,000,000",5
,"Dennis Pritt/State House Road, State House","KSh 75,000,000",4
,Lavington,"KSh 70,000,000",4
,"Lang'ata Nairobi, Langata","KSh 27,000,000",4
,Lavington,"KSh 58,000,000",5
,"galana road, Kilimani","KSh 40,000,000",5
,"Lower Kabete, Westlands","KSh 180,000,000",5
,"99, Lower Kabete, Westlands","KSh 125,000,000",5
,"gitanga road, Gitanga road, Lavington","KSh 25,000,000",0
,"Runda, Westlands","KSh 90,000,000",4
,"Loresho, Westlands","KSh 85,000,000",4
,Lavington,"KSh 160,000,000",4
,"ololua Ridge, Karen","KSh 95,000,000",5
,Lavington,Price not communicated,5
,Karen,"KSh 85,000,000",4
,Karen,"KSh 75,000,000",4
,"Miotoni West Road, Karen","KSh 245,403,755",5
,Lavington,"KSh 50,000,000",5
,Lavington,"KSh 50,000,000",4
,"Kiambu Town Near Nova Park Hotel, Kiambu Road","KSh 20,500,000",4
,Langata,"KSh 29,000,000",4
,"Rosslyn, Westlands","KSh 90,000,000",6
,Lavington,"KSh 95,000,000",5
,Muthaiga,"KSh 120,000,000",5
,"Lower kabete road, Nairobi, Lower Kabete, Westlands","KSh 145,000,000",5
,"1023n, within Baraka Estate, Embakasi., Embakasi","KSh 14,000,000",3
,"Loresho, Westlands","KSh 60,000,000",4
,"Five star Paradise, Kiambu Road","KSh 32,200,000",4
,Lavington,"KSh 145,000,000",4
,Langata,"KSh 30,000,000",4
,"Brookside, Westlands","KSh 55,000,000",4
,Lavington,"KSh 53,000,000",5
,"Ushirika Road, Karen","KSh 127,357,400",5
,Kiambu Road,"KSh 27,500,000",4
,"Westlands Area, Westlands","KSh 60,000,000",5
,"55, Whispers Venue, Gigiri, Westlands","KSh 200,000,000",5
,"45, Eldama park, General Mathenge, Westlands","KSh 70,000,000",5
,Kiambu Road,"KSh 24,500,000",4
,"Munderendu Road, Langata","KSh 145,000,000",5
,Karen,"KSh 135,000,000",5
,"Runda, Westlands","KSh 100,000,000",5
,Lavington,"KSh 65,000,000",5
,"Runda, Westlands","KSh 110,000,000",5
,"Spring Valley, Westlands","KSh 105,000,000",5
,South C,"KSh 18,500,000",3
,"Runda, Westlands","KSh 135,000,000",4
,Lavington,"KSh 68,000,000",4
,Lavington,"KSh 75,000,000",4
,"Westlands, Westlands Area","KSh 39,000,000",4
,Lavington,"KSh 50,000,000",5
,"langata road, Langata","KSh 18,500,000",4
,"Runda, Westlands","KSh 88,000,000",4
,Lavington,"KSh 75,000,000",4
,Kiambu Road,"KSh 36,999,998",3
,Lavington,"KSh 55,000,000",5
,"Fourways Junction Estate, Kiambu Road","KSh 25,000,000",3
,Lavington,"KSh 80,000,000",5
,Langata,"KSh 43,000,000",4
,Thika Road,"KSh 27,000,000",4
,"Loresho, Westlands","KSh 30,800,000",4
,"O, Kiambu, Kiambu Road","KSh 35,000,000",5
,"Westlands Area, Westlands","KSh 50,000,000",5
,"Manyani East road, Lavington, Nairobi","KSh 150,000,000",6
,"Matasia, Ngong Road","KSh 6,500,000",3
,"O, Harambee Sacco, Donholm","KSh 13,000,000",6
,"Amboseli road, Lavington","KSh 55,000,000",5
,"Malaa, Joska, Kamulu Joska Malaa","KSh 5,900,000",3
,"Kyuna, Westlands","KSh 55,000,000",4
,"Runda, Westlands","KSh 130,000,000",5
,Kiambu Road,"KSh 60,000,000",5
,"01, Runda, Westland, Westlands","KSh 130,000,000",5
,"Lower Kabete, Westlands","KSh 110,000,000",5
,"Mimosa Road, Runda, Westlands",Price not communicated,5
,Karen,"KSh 100,000,000",5
,"Spring valley, Spring Valley, Westlands","KSh 120,000,000",4
,Karen,"KSh 120,000,000",5
,"Tecla Leroupe rd, Villa Franca, Imara Daima","KSh 12,000,000",3
,"67, Runda Road, Runda, Westlands","KSh 115,000,000",5
,Thika Road,"KSh 16,000,000",4
,"Runda, Westlands","KSh 140,000,000",7
,"01, Syokimau, Mombasa Road","KSh 17,000,000",4
,"Kitisuru, Westlands","KSh 120,000,000",6
,"Karen Masai west, Karen","KSh 75,000,000",4
,"Mokoyeti road, Karen","KSh 75,000,000",5
,"Evergreen, Runda, Westlands","KSh 140,000,000",7
,Langata,"KSh 40,000,000",4
,Kiambu Road,"KSh 28,000,000",4
,"01, karen, Nairobi, Karen","KSh 130,000,000",5
,"Kabaserian, Lavington","KSh 60,000,000",4
,"Runda, Westlands","KSh 80,000,000",6
,"Runda, Westlands","KSh 80,000,000",4
,"Kangundo Road, Ruai","KSh 12,500,000",4
,"Kaputei, Lavington","KSh 60,000,000",5
,"67, Mimosa Road, Runda, Westlands","KSh 100,000,000",5
,"01, karen, Nairobi, Karen","KSh 70,000,000",4
,"Runda, Westlands","KSh 65,000,000",4
,"Northern Bypass, Thome, Roysambu","KSh 55,000,000",4
,Lavington,"KSh 68,000,000",4
,"Garden Estate, Roysambu","KSh 59,000,000",5
,"Bongani road, Karen","KSh 85,000,000",6
,Buruburu,"KSh 9,200,000",3
,"Runda, Westlands","KSh 62,000,000",5
,Kileleshwa,"KSh 45,000,000",5
,Karen,"KSh 200,000,000",5
,"Nyari Central barrier one, Nyari, Westlands","KSh 200,000,000",4
,Lavington,"KSh 82,000,000",6
,Lavington,"KSh 140,000,000",5
,"4, Benin Dr, Runda, Westlands","KSh 180,000,000",7
,"Kinyatta road, Thika Road","KSh 32,000,000",4
,"Kiambu road, Kiambu Road","KSh 45,000,000",4
,"Maziwa, Lavington Green, Lavington","KSh 75,000,000",4
,"kahawa sukari, Kahawa Sukari, Roysambu","KSh 55,000,000",6
,Muthaiga,"KSh 350,000,000",6
,"67, Kinanda Road, Kitisuru, Westlands","KSh 120,000,000",6
,"11155, EliudMathu Streets, Runda, Westlands","KSh 300,000,000",5
,Kiambu Road,"KSh 32,250,000",3
,Kiambu Road,"KSh 43,500,000",4
,Karen,"KSh 180,000,000",7
,"Karen Bongani road, Karen","KSh 85,000,000",6
,"Chalbi drive, Lavington","KSh 65,000,000",4
,"Thigiri, Westlands","KSh 150,000,000",4
,"Three de lane, Karen","KSh 70,000,000",5
,Lavington,"KSh 68,000,000",4
,"Lavington Green, Lavington","KSh 80,000,000",4
,"Spring Valley, Westlands","KSh 140,000,000",5
,"Kiambu road, Kiambu Road","KSh 30,500,000",4
,Lavington,"KSh 65,000,000",4
,"Ololua estate, Karen","KSh 95,000,000",5
,"Spring Valley, Westlands","KSh 55,000,000",5
,"Kinanda West, Kitisuru, Westlands","KSh 120,000,000",6
,Karen Hardy,"KSh 95,000,000",5
,"01, runda, Runda, Westlands","KSh 97,000,000",4
,"55, Mimosa Road, Runda, Westlands","KSh 250,000,000",7
,Lavington,"KSh 68,000,000",4
,"Runda, Westlands","KSh 150,000,000",6
,"Runda, Nyari, Westlands","KSh 130,000,000",5
,"lavington, Lavington","KSh 140,000,000",4
,"Flame tree, Runda, Westlands","KSh 90,000,000",5
,Kiambu Road,"KSh 32,000,000",4
,"KAHAWA, Kahawa Sukari, Roysambu","KSh 45,000,000",4
,Langata,"KSh 26,500,000",4
,"Karen Academy road, Karen","KSh 115,000,000",6
,"Kahawa Sukari, Roysambu","KSh 50,000,000",4
,Karen,"KSh 90,000,000",5
,"Runda Paradise, Kiambu Road","KSh 32,000,000",4
,Lavington,"KSh 50,000,000",5
,"Near Karen hub, Karen","KSh 75,000,000",4
,"01, lavington, Lavington","KSh 62,000,000",5
,"Old Muthaiga, Muthaiga","KSh 280,000,000",5
,Lavington,"KSh 68,000,000",4
,"Kaputei Road, Kileleshwa","KSh 55,000,000",5
,"Off UN Avenue, Runda, Westlands","KSh 100,000,000",4
,Lavington,"KSh 72,000,000",5
,"11, thome, Thome, Roysambu","KSh 55,000,000",5
,Embakasi,"KSh 12,500,000",3
,"Westland, Parklands, Westlands","KSh 42,000,000",4
,"Grivelia grove westland, Westlands Area, Westlands","KSh 48,000,000",4
,Karen,"KSh 70,000,000",4
,"Kitisuru, Westlands","KSh 120,000,000",5
,"Karen Academy road, Karen","KSh 55,000,000",4
,"kenyatta road, Thika Road","KSh 10,500,000",4
,Kiambu Road,"KSh 18,000,000",4
,"Denis Pritt, Kilimani","KSh 34,000,000",3
,"South C, Jolyn Court","KSh 15,000,000",3
,Lavington,"KSh 95,000,000",5
,"Westlands Area, Westlands","KSh 44,000,000",4
,"Oyster Mews,Langata Road, Langata","KSh 36,000,000",4
,Lavington,"KSh 70,000,000",5
,"Runda, Westlands","KSh 250,000,000",5
,"Karen fair acres, Karen","KSh 65,000,000",4
,Lavington,"KSh 48,000,000",4
,"Pepo Lane, Karen","KSh 150,000,000",4
,"Karen road, Karen","KSh 90,000,000",3
,"Loresho ridge, Loresho, Westlands","KSh 150,000,000",5
,"Langata road, Karen","KSh 190,000,000",7
,"Bogani Park, Karen","KSh 88,000,000",4
,"89, Muthaiga Road, Muthaiga","KSh 650,000,000",6
,"67, Mbambane, Lavington","KSh 95,000,000",5
,"Hardy, Karen","KSh 95,000,000",4
,"Westlands Area, Westlands","KSh 56,500,000",5
,"Runda, Westlands","KSh 100,000,000",5
,"Edenville Estate Phase 1, Kiambu Road","KSh 26,000,000",31
,"Westland, Parklands, Westlands","KSh 90,000,000",5
,"Ibis Drive, Nyari Eatate, Nairobi, Nyari, Westlands","KSh 135,000,000",5
,"Kitisuru, Westlands","KSh 75,000,000",4
,Lavington,"KSh 52,000,000",4
,Kiambu Road,"KSh 52,300,000",4
,Lavington,"KSh 65,000,000",4
,"Lower kabete, Lower Kabete, Westlands","KSh 85,000,000",5
,"Hardy shopping, Karen Hardy","KSh 105,000,000",4
,"Ololua estate, Karen","KSh 95,000,000",4
,"Kitisuru, Westlands","KSh 70,000,000",4
,Lavington,"KSh 85,000,000",4
,Lavington,"KSh 53,000,000",5
,Kilimani,"KSh 38,000,000",3
,"peponi road, Westlands Area, Westlands","KSh 300,000,000",4
,"Rhapta Road, Westlands","KSh 32,000,000",4
,Muthaiga,"KSh 270,000,000",5
,"Runda,Mimosa, Runda, Westlands","KSh 160,000,000",5
,"Riverside, Westlands","KSh 45,000,000",3
,Kilimani,"KSh 36,000,000",4
,Kiambu Road,"KSh 29,500,000",4
,"Lower Kabete, Westlands","KSh 49,000,000",4
,"mukoma road, Karen","KSh 80,000,000",4
,"Riverside, Westlands","KSh 40,000,000",4
,"O, Karen bagathi ridge, Karen","KSh 250,000,000",5
,Karen,"KSh 180,000,000",5
,"Grevillea grove, Brookside, Westlands","KSh 60,000,000",4
,South C,"KSh 20,950,000",4
,"11, Whispers Road, Gigiri, Westlands","KSh 200,000,000",5
,"Muthangari, Westlands Area, Westlands","KSh 45,000,000",5
,Kiambu Road,"KSh 27,000,000",4
,"Mukoma road, Karen","KSh 85,000,000",5
,Karen,"KSh 80,000,000",4
,"Loresho, Westlands","KSh 35,000,000",4
,"two rivers, Gigiri, Westlands","KSh 47,000,000",4
,"345, karen, Karen","KSh 65,000,000",4
,Lavington,"KSh 82,000,000",5
,Lavington,"KSh 58,000,000",5
,Buruburu,"KSh 10,900,000",4
,"099, Amboseli Lane, Lavington","KSh 50,000,000",5
,Langata,"KSh 30,000,000",6
,Lavington,"KSh 40,000,000",4
,"Rusinga Court, Lavington","KSh 500,000,000",5
,"Greenview Villas, Kiambu Road","KSh 32,000,000",4
,"O, Karen kuwinda road, Karen","KSh 85,000,000",4
,"1027m, New Runda, Runda, Westlands","KSh 90,000,000",4
,"Brookside, Westlands, Nairobi","KSh 25,000,000",4
,"Five Star Paradise, Kiambu Road","KSh 52,950,000",4
,"Near Karen hub, Karen","KSh 75,000,000",5
,"Karbasiran, Lavington","KSh 45,000,000",4
,"72, Jacaranda Avenue, Lavington","KSh 135,000,000",6
,Kiambu Road,"KSh 85,000,000",4
,"Karen kuro road, Karen","KSh 67,000,000",7
,Karen,"KSh 75,000,000",4
,"karen, Karen","KSh 65,000,000",5
,Lavington,"KSh 150,000,000",5
,Ngong Road,"KSh 14,500,000",3
,Kiambu Road,"KSh 32,500,000",4
,"Spring Valley, Westlands","KSh 92,000,000",5
,"Oloolua, Karen","KSh 99,000,000",5
,"Argwings Khodhek, Kilimani","KSh 53,000,000",4
,Karen,"KSh 60,000,000",5
,"Loresho, Westlands","KSh 36,000,000",4
,"O, Karen bomas of kenya, Karen","KSh 150,000,000",5
,"Kiu River Rd, Kahawa Sukari, Roysambu","KSh 55,000,000",5
,"45, Eliud Mathu Street, Runda, Westlands","KSh 300,000,000",5
,"Lower Kabete, Westlands","KSh 150,000,000",5
,Kiambu Road,"KSh 63,950,000",5
,Kilimani,"KSh 29,000,000",4
,"1, Off Loresho Ridge, Loresho, Westlands","KSh 130,000,000",4
,"Kitisuru, Westlands","KSh 130,000,000",5
,"Rosslyn lone tree Nairobi, Rosslyn, Westlands","KSh 120,000,000",5
,"01, Runda, Westland, Westlands","KSh 85,000,000",5
,"Lower Kabete, Westlands","KSh 100,000,000",5
,"Dam Estate, Langata Road, Langata","KSh 18,000,000",4
,Kiambu Road,"KSh 35,000,000",4
,"Ngong, Ngong Road","KSh 7,600,000",3
,"Runda, Westlands","KSh 65,000,000",5
,"Near Karen shopping centre, Karen","KSh 130,000,000",6
,"14, KERARAPON DRIVE, Karen","KSh 40,000,000",5
,Lavington,"KSh 75,000,000",5
,"56, Convent Garden, Lavington","KSh 48,450,000",5
,"Lavington Green, Lavington","KSh 60,000,000",4
,"Loresho, Westlands","KSh 40,000,000",4
,"lavington, Lavington","KSh 95,000,000",5
,"Bagathi ridge, Karen","KSh 120,000,000",5
,"171, Jacaranda avenue, Lavington","KSh 140,000,000",6
,"01, Runda, Westland, Westlands","KSh 75,000,000",5
,"Kibagare way, Loresho, Westlands","KSh 85,000,000",4
,Karen,"KSh 65,000,000",4
,"Ndege road, Karen","KSh 130,000,000",4
,"Kitisuru, Westlands","KSh 135,000,000",4
,South C,"KSh 18,500,000",4
,"O, Karen bomas of kenya, Karen","KSh 150,000,000",5
,Kiambu Road,"KSh 84,000,000",3
,"Fourways Junction Estate, Kiambu Road","KSh 25,000,000",3
,Lavington,"KSh 60,000,000",5
,Karen,"KSh 82,000,000",5
,"Lenana Road, Kilimani, Nairobi","KSh 50,000,000",5
,"miotoni road, Karen","KSh 550,000,000",8
,South C,"KSh 32,000,000",4
,"Karen miotoni, Karen","KSh 120,000,000",5
,"0928n/0929p, within Runda Estate., Runda, Westlands","KSh 90,000,000",4
,Imara Daima,"KSh 11,000,000",3
,Kiambu Road,"KSh 85,000,000",5
,Kilimani,"KSh 35,000,000",3
,Kiambu Road,"KSh 85,000,000",5
,"01, karen, Nairobi, Karen","KSh 90,000,000",4
,"Runda, Westlands","KSh 85,000,000",5
,"Riverbank Estate, South B","KSh 13,000,000",3
,Karen,"KSh 120,000,000",5
,"Kirarapon, Karen","KSh 40,000,000",4
,Lavington,"KSh 85,000,000",5
,"O, Karen ushirka road, Karen","KSh 130,000,000",5
,"Kiambu road, Kiambu Road","KSh 30,200,000",4
,"Riverside Drive, Westlands Area, Westlands","KSh 45,000,000",5
,"678, Eliud Mathu, Runda, Westlands","KSh 300,000,000",4
,"Gigiri, Westlands","KSh 220,000,000",5
,"Jamhuri phase 1, Ngong Road","KSh 16,200,000",31
,"Gigiri, Westlands",Price not communicated,5
,Lavington,"KSh 48,000,000",4
,"Karen Academy road, Karen","KSh 115,000,000",6
,Lavington,"KSh 63,000,000",4
,"Nyari, Westlands","KSh 130,000,000",5
,Karen,"KSh 70,000,000",5
,"Fourways Junction Estate, Kiambu Road","KSh 31,000,000",4
,"MUMIAS SOUTH RD, Buruburu","KSh 10,000,000",3
,"Gigiri, Westlands","KSh 110,000,000",4
,South C,"KSh 19,000,000",3
,Karen,"KSh 70,000,000",4
,"Convent, Lavington","KSh 60,000,000",5
,"Kitisuru, Westlands","KSh 880,000,000",5
,"Kitisuru, Westlands","KSh 120,000,000",5
,"77, Evergreen, Runda, Westlands","KSh 135,000,000",7
,"Kiambu road, Kiambu Road","KSh 62,000,000",4
,"O, Karen bomas of kenya, Karen","KSh 150,000,000",5
,Karen,"KSh 85,000,000",4
,Kiambu Road,"KSh 39,000,000",4
,"Buruburu Ph v, Buruburu","KSh 11,500,000",3
,Lavington,"KSh 85,000,000",5
,Lavington,"KSh 63,000,000",5
,"Kitengela road, Langata","KSh 16,000,000",3
,"Windsor, Roysambu","KSh 60,000,000",4
,Lavington,"KSh 55,000,000",5
,Karen,"KSh 98,000,000",5
,"Lower Kabete, Westlands","KSh 140,000,000",5
,"Kommarock, Komarock","KSh 13,000,000",4
,"90, Kinanda Road, Kitisuru, Westlands","KSh 120,000,000",6
